paper_id,citation_id
47275,10830
4808,10830
31456,10830
25745,10830
72871,10830
4986,10830
33134,10830
57214,10830
50676,10830
30733,10830
82174,10830
23329,10830
77312,10830
71604,10830
17771,10830
53170,10830
82418,10830
63657,10830
26796,10830
57900,10830
54110,10830
9500,10830
9277,10830
34450,10830
80497,10830
48394,10830
1277,10830
9131,10830
80397,10830
77414,10830
29796,10830
26585,10830
44607,10830
4882,10830
1265,10830
78423,10830
551,10830
76611,10830
375,10830
30645,10830
39067,10830
41588,10830
9122,10830
831,10830
9238,10830
29617,10830
28104,10830
72319,10830
64313,10830
29910,10830
55020,10830
76413,10830
16073,10830
61804,10830
41113,10830
8788,10830
13181,10830
59962,10830
71848,10830
43769,10830
57798,10830
50891,10830
6976,10830
57828,10830
75131,10830
20615,10830
31255,10830
59136,10830
54968,10830
54745,10830
20697,10830
20564,10830
48021,10830
67357,10830
387,10830
8918,10830
67460,10830
42916,10830
60318,10830
62946,10830
50904,10830
64676,10830
23810,10830
68448,10830
17608,10830
73777,10830
73610,10830
36575,10830
34039,10830
17741,10830
16785,10830
36477,10830
15280,10830
64681,10830
81469,10830
13845,10830
38383,10830
29523,10830
42921,10830
44507,10830
18093,10830
23588,10830
4609,10830
75794,10830
73697,10830
77290,10830
5572,10830
23097,10830
68547,10830
41605,10830
73355,10830
68756,10830
27900,10830
67531,10830
45422,10830
18372,10830
27731,10830
12764,10830
5441,10830
58779,10830
27235,10830
43431,10830
76241,10830
19314,10830
42768,10830
9302,10830
22855,10830
7906,10830
45741,10830
48069,10830
66378,10830
24188,10830
18263,10830
15022,10830
74786,10830
55926,10830
69823,10830
28577,10830
13825,10830
64008,10830
4534,10830
35281,10830
52154,10830
30409,10830
44343,10830
6600,10830
33973,10830
71198,10830
82037,10830
41854,10830
25594,10830
57643,10830
23992,10830
48581,10830
69879,10830
32942,10830
58219,10830
44932,10830
50915,10830
34000,10830
25102,10830
70960,10830
34077,10830
58955,10830
8666,10830
42743,10830
66965,10830
57547,10830
29552,10830
17655,10830
33149,10830
16238,10830
6490,10830
65313,10830
70311,10830
35882,10830
41652,10830
18590,10830
7082,10830
47931,10830
27805,10830
18067,10830
43944,10830
68541,10830
14717,10830
54318,10830
34203,10830
1683,10830
79479,10830
74937,10830
15484,10830
66417,10830
31668,10830
44109,10830
873,10830
49748,10830
25979,10830
13024,10830
43960,10830
14896,47275
27951,47275
47610,47275
42583,47275
70426,47275
57148,47275
80038,47275
36116,47275
32091,47275
29475,47275
77669,47275
18448,47275
42988,47275
43576,47275
36082,47275
2585,47275
30361,47275
25745,47275
70757,47275
74194,47275
51433,47275
53095,47275
29077,47275
5635,47275
53480,47275
69201,47275
49691,47275
75616,47275
80669,47275
16998,47275
67168,47275
8928,47275
60020,47275
13992,47275
59463,47275
3468,47275
17711,47275
13370,47275
31343,47275
11890,47275
28422,47275
19830,47275
68963,47275
54800,47275
32163,47275
58736,47275
49994,47275
81052,47275
57300,47275
81767,47275
56869,47275
8238,47275
51123,47275
37151,47275
13422,47275
35119,47275
67550,47275
54619,47275
18373,47275
65059,47275
56836,47275
54563,47275
67822,47275
14775,47275
78808,47275
68418,47275
63093,47275
29843,47275
39719,47275
24609,47275
23855,47275
31246,47275
48465,47275
49775,47275
9331,47275
30069,47275
75971,47275
21991,47275
16130,47275
36346,47275
21721,47275
12854,47275
58264,47275
17051,47275
52630,47275
27667,47275
15378,47275
38190,47275
43817,47275
4320,47275
10225,47275
47348,47275
59531,47275
21870,47275
48767,47275
